ParticipantID,What is the capital of Finland?,Which of these is NOT the name of one of the three major island groups in the Pacific Ocean?,Transylvania is a region in which country?,What is the capital of Brazil?,Which of these countries does NOT have a ‘dollar’ as a form of currency?,Which ocean separates the eastern coast of USA and Western Europe?,The Amazon Rainforest is in which continent?,Which of these deserts are in South America?,Madagascar is a country in which continent?,"The Angkor Wat is the largest religious monument in the world, located in which country?",Which country has won more FIFA world cups than any other country?,What did Ceylon change its name to in 1972?,What is the capital of Canada?,What is the name of the microstate located between Spain and France?,What is the name of the largest river to flow through Paris?,Constantinople and Byzantium are former names of which major city?,What African country has the largest population?,Score,I see myself as someone who is talkative,I see myself as someone who tends to find fault with others,I see myself as someone who does a thorough job,"I see myself as someone who is depressed, blue","I see myself as someone who is original, comes up with new ideas",I see myself as someone who is reserved,I see myself as someone who is helpful and unselfish with others,I see myself as someone who can be somewhat careless,"I see myself as someone who is relaxed, handles stress well",I see myself as someone who is curious about many different things,I see myself as someone who is full of energy,I see myself as someone who starts quarrels with others,I see myself as someone who is a reliable worker,I see myself as someone who can be tense,"I see myself as someone who is ingenious, a deep thinker",I see myself as someone who generates a lot of enthusiasm,I see myself as someone who has a forgiving nature,I see myself as someone who tends to be disorganised,I see myself as someone who worries a lot,I see myself as someone who has an active imagination,I see myself as someone who tends to be quiet,I see myself as someone who is generally trusting,I see myself as someone who tends to be lazy,"I see myself as someone who is emotionally stable, not easily upset",I see myself as someone who is inventive,I see myself as someone who has an assertive personality,I see myself as someone who can be cold and aloof,I see myself as someone who perseveres until the task is finished,I see myself as someone who can be moody,"I see myself as someone who values artistic, aesthetic experiences","I see myself as someone who is sometimes shy, inhibited",I see myself as someone who is considerate and kind to almost everyone,I see myself as someone who does things efficiently,I see myself as someone who remains calm in tense situations,I see myself as someone who prefers work that is routine,"I see myself as someone who is outgoing, sociable",I see myself as someone who is sometimes rude to others,I see myself as someone who makes plans and follows through with them,I see myself as someone who gets nervous easily,"I see myself as someone who likes to reflect, play with ideas",I see myself as someone who has few artistic interests,I see myself as someone who likes to cooperate with others,I see myself as someone who is easily distracted,"I see myself as someone who is sophisticated in art, music or literature",I prefer to gather all the necessary information before committing to a decision.,I thoroughly evaluate decision alternatives before making a final choice.,"In decision making, I take time to contemplate the pros/cons or risks/benefits of a situation.",Investigating the facts is an important part of my decision-making process.,I weigh a number of different factors when making decisions.,"When making decisions, I rely mainly on my gut feelings.",My initial hunch about decisions is generally what I follow.,I make decisions based on intuition.,I rely on my first impressions when making decisions.,I weight feelings more than analysis in making decisions.
5be39428dd850e0001d2d401,Helsinki,Odesia,Romania,Brasilia,Hong Kong,Atlantic,South America,Patagonian,Africa,Mongolia,Brazil,Sri Lanka,Quebec,Andorra,Seine,Athens,South Africa,12,4,2,5,2,3,4,4,4,2,4,3,3,5,4,4,3,4,4,5,1,3,4,2,3,1,4,2,5,3,1,2,4,4,3,2,3,2,4,3,4,4,3,2,2,4,3,4,3,2,4,3,3,3,4
5a9e9fc46219a30001f54994,Helsinki,Odesia,Romania,Rio de Janeiro,Vietnam,,South America,Patagonian,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Egypt,13,3,4,3,2,4,4,4,4,4,4,4,2,4,2,4,3,3,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,3,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3
610abbbb784eea92360657e0,Helsinki,Melanesia,Romania,Brasilia,Singapore,Atlantic,South America,Kalahari,Africa,Mongolia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,13,4,3,4,1,4,4,3,4,4,4,4,3,4,4,3,2,4,3,2,4,4,2,4,4,4,4,4,5,3,3,2,3,4,4,4,3,4,5,3,4,3,4,2,3,4,4,3,3,4,2,3,2,3,3
5fd0c81fc79aef1882cbee94,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,17,4,4,1,5,3,4,2,5,1,4,2,4,1,5,4,2,2,5,5,5,2,3,5,1,3,2,4,1,5,4,4,2,1,5,2,2,4,1,5,3,1,2,5,4,2,2,2,3,1,4,4,4,4,4
613ab0960ff3efd039adf1e0,Helsinki,Melanesia,Romania,Brasilia,New Zealand,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Ottawa,Andorra,Vienne,Istanbul,Nigeria,14,5,5,2,1,5,4,2,5,4,5,2,2,4,4,5,4,3,5,4,4,2,4,4,5,3,4,4,4,5,4,4,4,4,5,4,5,5,5,2,4,1,4,5,4,5,5,5,4,4,4,5,4,5,1
602fb33786b077cdbad2d5bb,Helsinki,Micronesia,Romania,Brasilia,Vietnam,Pacific,South America,Patagonian,Africa,Thailand,Argentina,India,Toronto,Liechtenstein,Rhine,Istanbul,Nigeria,9,1,4,3,4,4,4,5,4,1,4,1,4,5,5,4,2,4,5,5,2,4,2,4,1,2,2,4,3,5,2,4,4,3,2,4,3,4,5,5,3,2,3,4,2,4,4,4,4,3,4,3,4,5,5
5b88002a7bb9e90001f0703f,Helsinki,Melanesia,Romania,Brasilia,Vietnam,Atlantic,South America,Gobi,Africa,Cambodia,Brazil,Pakistan,Ottawa,Liechtenstein,Seine,Istanbul,Nigeria,13,1,3,5,3,3,5,4,1,2,4,3,1,4,4,4,2,3,1,5,4,5,4,2,2,3,1,4,4,3,3,5,4,4,3,5,1,1,4,5,3,4,3,1,2,5,5,5,5,5,2,2,3,3,1
56ce42d9465e580006846f57,Helsinki,Odesia,Romania,Brasilia,Vietnam,Atlantic,South America,Patagonian,Africa,Cambodia,Brazil,Sri Lanka,Toronto,Andorra,Seine,Istanbul,Nigeria,16,1,1,5,3,2,5,3,2,3,3,2,1,5,3,4,2,4,5,4,3,5,2,2,3,2,3,4,5,3,3,5,4,5,3,5,1,2,5,4,4,3,4,2,4,5,5,4,5,5,2,2,2,4,2
6110f275e5e009469800b734,Helsinki,Odesia,Romania,Brasilia,,Atlantic,South America,Gobi,Africa,Thailand,Brazil,Sri Lanka,Quebec,Luxenbourg,Seine,Istanbul,South Africa,11,3,2,4,1,3,4,4,2,3,4,3,3,4,2,4,4,4,1,4,4,3,4,2,3,2,4,3,4,2,4,3,2,3,4,4,3,3,4,1,3,4,4,4,2,4,4,3,4,3,2,4,3,3,4
6089cd0a1c1541c29bb34c73,Helsinki,Micronesia,Albania,Brasilia,Vietnam,Pacific,South America,Patagonian,Africa,Thailand,Brazil,Sri Lanka,Ottawa,Andorra,Seine,Istanbul,Nigeria,13,2,4,5,1,4,5,4,2,4,5,2,1,5,1,5,4,2,1,1,5,5,5,1,1,4,1,5,5,2,4,5,2,4,4,5,2,1,5,1,5,5,4,1,5,5,5,5,4,4,2,2,2,4,2
